type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_24_LAD,B,96,2,Jul,2,exponential,0:01:54.043138,OPTIMAL,126087365667,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Jul,2,linear,0:02:34.059436,OPTIMAL,125653721936,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Jul,2,quadratic,0:01:47.849171,OPTIMAL,126097724345,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Sep,2,constant,0:01:44.477901,OPTIMAL,126121939362,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Sep,2,exponential,0:02:06.189832,OPTIMAL,125639320920,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Sep,2,linear,0:02:21.953332,OPTIMAL,125648518299,0
HEURISTIC_MEDIAN_24_LAD,B,96,2,Sep,2,quadratic,0:01:47.444085,OPTIMAL,126103669061,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Dec,2,constant,0:01:48.987873,OPTIMAL,126167354799,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Dec,2,exponential,0:01:38.079042,OPTIMAL,126182085315,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Dec,2,linear,0:01:36.196878,OPTIMAL,126234324516,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Dec,2,quadratic,0:01:38.347687,OPTIMAL,126133616651,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Jul,2,constant,0:01:43.101189,OPTIMAL,126179823942,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Jul,2,exponential,0:02:24.512816,OPTIMAL,125847863049,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Jul,2,linear,0:01:33.223708,OPTIMAL,126167871860,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Jul,2,quadratic,0:01:42.860303,OPTIMAL,126135751491,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Sep,2,constant,0:02:13.684759,OPTIMAL,125910637566,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Sep,2,exponential,0:01:36.332777,OPTIMAL,126138240058,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Sep,2,linear,0:01:48.696856,OPTIMAL,126134811192,0
HEURISTIC_MEDIAN_24_LAD,B,96,3,Sep,2,quadratic,0:01:49.629375,OPTIMAL,126121487561,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Dec,2,constant,0:02:23.893709,OPTIMAL,125715785111,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Dec,2,exponential,0:02:13.877857,OPTIMAL,125697744244,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Dec,2,linear,0:02:13.873135,OPTIMAL,125746887915,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Dec,2,quadratic,0:02:13.887625,OPTIMAL,125749126798,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Jul,2,constant,0:02:14.223774,OPTIMAL,125730139072,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Jul,2,exponential,0:02:46.966642,OPTIMAL,125737954146,0
